1,82960636,82960636,1.000000,16.032595
2,73967649,110083313,1.488263,14.893321
3,65956145,129240517,1.959492,14.458441
4,59313476,143855230,2.425338,14.203987
5,53842356,155461445,2.887345,14.024529
6,49285821,164850501,3.344785,13.884505
7,45455727,172545679,3.795906,13.768554
8,42190592,178884230,4.239908,13.668544
9,39372007,184153241,4.677263,13.579725
10,36908809,188553831,5.108640,13.499104
